
1	|	How is our financial performance versus analyst estimates	|	FIN	|	Comparison	|	Numeric	|	O	O	O	mea	mea	O	cmp	cmp
2	|	Which market units generate the most cloud revenue	|	FIN	|	Lookup	|	Location	|	O	res	res	O	O	argm	B_where	mea
3	|	Which market units have had the highest cloud revenue growth rates	|	FIN	|	Calculate	|	Location	|	O	res	res	O	O	O	argm	B_where	mea	mea	mea
4	|	Which region generates the most cloud revenue	|	FIN	|	Lookup	|	Location	|	O	res	O	O	argm	B_where	mea
5	|	Which countries generated the most service revenue	|	FIN	|	Lookup	|	Location	|	O	res	O	O	argm	B_where	mea
6	|	Which country has had the highest cloud revenue growth rates in the past half year	|	FIN	|	Calculate	|	Location	|	O	res	O	O	O	argm	B_where	mea	mea	mea	O	O	B_where	I_where	I_where
7	|	Which market unit has had the least cloud revenue growth rates in the past half year	|	FIN	|	Calculate	|	Location	|	O	res	res	O	O	O	argm	B_where	mea	mea	mea	O	O	B_where	I_where	I_where
8	|	Which organization has had the highest revenue growth rates in the last quarter	|	FIN	|	Calculate	|	Location	|	O	res	O	O	O	argm	mea	mea	mea	O	O	B_where	I_where
9	|	Which location generates the most cloud revenue	|	FIN	|	Lookup	|	Location	|	O	res	O	O	argm	B_where	mea
10	|	Which location has generated the most cloud revenue last quarter	|	FIN	|	Lookup	|	Location	|	O	res	O	O	O	argm	B_where	mea	B_where	I_where
11	|	For which locations is the cloud revenue greater than ten million	|	FIN	|	Lookup	|	Location	|	O	O	res	O	O	B_where	mea	oper	O	cmp	cmp
12	|	Show all countries that have profits bigger than 1 million	|	FIN	|	Comparison	|	Location	|	O	O	res	O	O	mea	oper	O	cmp	cmp
13	|	Which countries have profits bigger 1 million	|	FIN	|	Comparison	|	Location	|	O	res	O	mea	oper	cmp	cmp
14	|	Which are the top market units regarding cloud revenue	|	FIN	|	Lookup	|	Location	|	O	O	O	argm	res	res	O	B_where	mea
15	|	How many market units had more than 10 percent software revenue growth rates	|	FIN	|	Calculate	|	Numeric	|	O	oper	grpby	grpby	O	oper	O	cmp	cmp	B_where	mea	mea	mea
16	|	Which market units had more than 5 percent software revenue growth rates	|	FIN	|	Calculate	|	Location	|	O	res	res	O	oper	O	cmp	cmp	B_where	mea	mea	mea
17	|	The on-premise revenue was the highest for which region last quarter	|	FIN	|	Lookup	|	Location	|	O	B_where	mea	O	O	argm	O	O	res	B_where	I_where
18	|	What is the software revenue growth in the last two quarters	|	FIN	|	Calculate	|	Numeric	|	O	O	O	B_where	mea	mea	O	O	B_where	I_where	I_where
19	|	What is the software revenue growth during the last two quarters	|	FIN	|	Calculate	|	Numeric	|	O	O	O	B_where	mea	mea	O	O	B_where	I_where	I_where
20	|	What is the on-premise revenue growth for the past two quarters	|	FIN	|	Calculate	|	Numeric	|	O	O	O	B_where	mea	mea	O	O	B_where	I_where	I_where
21	|	Show us the on-premise revenue growth for the last two quarters	|	FIN	|	Calculate	|	Numeric	|	O	O	O	B_where	mea	mea	O	O	B_where	I_where	I_where
22	|	Show us the development of our on-premise revenue growth throughout the last three quarters	|	FIN	|	Calculate	|	Numeric	|	O	O	O	O	O	O	B_where	mea	mea	O	O	B_where	I_where	I_where
23	|	What is the margin for product Objects Cloud	|	FIN	|	Lookup	|	Numeric	|	O	O	O	mea	O	O	B_where	I_where
24	|	What is the margin for our on-premise products	|	FIN	|	Lookup	|	Numeric	|	O	O	O	mea	O	O	B_where	O
